2014-Jun-28_09-29-40,Time Stamp,,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Jun-28_10-38-27,10-38-27.7,0,9.488,111.698,0.894,1,-0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,-1,1,-0.11,0,0,0,2,1,750.828,-330.914,109.517,0,0,13505,5,128.422,1,?6??,
2014-Jun-28_10-38-27,10-38-27.8,0,9.419,114.636,1,1,-0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,-1,1,0.063,0,0,0,2,1,752.926,-331.032,109.746,0,0,13510,5,128.522,1,?MXI,
2014-Jun-28_10-38-28,10-38-28.0,0,8.737,146.21,1,1,-0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,-1,1,0.443,0,0,0,2,1,88.798,-331.151,109.631,0,0,13515,5,128.622,1,18?,
2014-Jun-28_10-38-28,10-38-28.1,0,8.538,134.829,1,1,-0.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,-1,1,0.468,0,0,0,2,1,461.255,-331.273,109.631,0,0,13520,5,128.722,1,`??,
2014-Jun-28_10-38-28,10-38-28.2,0,8.823,133.727,1,1,-0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519,-1,1,0.519,0,0,0,2,1,90.896,-331.396,109.631,0,0,13525,5,128.822,1,XA0,
2014-Jun-28_10-38-28,10-38-28.3,0,7.865,170.809,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,-1,1,0.797,0,0,0,2,1,90.896,-331.522,109.517,0,0,13530,5,128.922,1,q*?l,
2014-Jun-28_10-38-28,10-38-28.4,0,7.761,173.012,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,-1,1,0.797,0,0,0,2,1,92.995,-331.646,109.403,0,0,13535,5,129.022,1,m???,
2014-Jun-28_10-38-28,10-38-28.5,0,7.882,173.379,1,1,-0.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,-1,1,0.57,0,0,0,2,1,96.142,-331.777,109.517,0,0,13540,5,129.122,1,Mb??,
2014-Jun-28_10-38-28,10-38-28.6,0,7.865,166.403,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,-1,1,0.797,0,0,0,2,1,97.192,-331.903,109.517,0,0,13545,5,129.221,1,???,
2014-Jun-28_10-38-28,10-38-28.7,0,7.865,172.645,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,-1,1,0.797,0,0,0,2,1,97.192,-332.032,109.517,0,0,13550,5,129.321,1,??L,
2014-Jun-28_10-38-28,10-38-28.8,0,9.117,123.447,0.777,0.079,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,-0.055,1,1,0,0,0,2,1,98.241,-332.282,109.631,0,0,13560,5,129.521,1,???,
2014-Jun-28_10-38-28,10-38-28.9,0,9.143,129.689,1,0.415,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,-0.616,1,1,0,0,0,2,1,97.192,-332.403,109.631,0,0,13565,5,129.621,1,???,
2014-Jun-28_10-38-29,10-38-29.0,0,8.944,138.867,1,1,-0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,-1,1,0.304,0,0,0,2,1,100.339,-332.526,109.403,0,0,13570,5,129.722,1,l?Pa,
2014-Jun-28_10-38-29,10-38-29.3,0,11.708,11.1,0.01,0.002,-0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0.114,0.139,0.139,0,0,0,2,1,115.028,-332.892,109.517,0,0,13585,5,130.022,1,???L,
2014-Jun-28_10-38-29,10-38-29.5,0,10.956,45.245,0.327,0.199,-0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123,-0.521,0.519,0.127,0,0,0,2,1,137.06,-333.125,109.631,0,0,13595,5,130.223,1,_Y?,
2014-Jun-28_10-38-29,10-38-29.6,0,10.956,45.245,0.327,0.199,-0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123,-0.521,0.519,0.127,0,0,0,2,1,137.06,-333.125,109.631,0,0,13595,5,130.223,1,?l? ,
2014-Jun-28_10-38-29,10-38-29.7,0,11.302,21.747,0.185,0.159,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-0.342,0.342,0.025,0,0,0,2,1,66.765,-333.243,109.517,0,0,13600,5,130.322,1,???,
2014-Jun-28_10-38-29,10-38-29.8,0,11.863,3.023,0.035,0.028,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.068,0.063,0.013,0,0,0,2,1,65.716,-333.385,109.631,0,0,13605,5,130.422,1,pB,
2014-Jun-28_10-38-29,10-38-29.9,0,11.898,3.39,0.069,0.044,-0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-0.11,0.114,0.025,0,0,0,2,1,68.864,-333.497,109.631,0,0,13610,5,130.523,1,?B]?,
2014-Jun-28_10-38-30,10-38-30.0,0,8.953,145.109,0.723,0.403,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315,-1,1,0.316,0,0,0,2,1,73.06,-333.613,109.631,0,0,13615,5,130.623,1,"	+?",
2014-Jun-28_10-38-30,10-38-30.1,0,9.065,129.322,1,1,-0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,2,1,76.208,-333.866,109.517,0,0,13625,5,130.822,1,Y??,
2014-Jun-28_10-38-30,10-38-30.3,0,9.151,126.384,1,1,-0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,2,1,83.552,-333.992,109.631,0,0,13630,5,130.922,1,R]?s,
2014-Jun-28_10-38-30,10-38-30.4,0,9.35,118.307,1,1,-0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,2,1,91.946,-334.112,109.631,0,0,13635,5,131.022,1,>?8^,
2014-Jun-28_10-38-30,10-38-30.5,0,9.316,113.534,0.759,1,-0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,-1,1,-0.247,0,0,0,2,1,104.536,-334.234,109.403,0,0,13640,5,131.122,1,??,
2014-Jun-28_10-38-30,10-38-30.6,0,10.3,69.109,0.576,1,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,-1,1,-0.425,0,0,0,2,1,103.487,-334.356,109.631,0,0,13645,5,131.222,1,?H??,
2014-Jun-28_10-38-30,10-38-30.7,0,10.024,88.568,0.221,0.518,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,-0.74,0.734,-0.301,0,0,0,2,1,113.978,-334.478,109.403,0,0,13650,5,131.322,1,?K?c,
2014-Jun-28_10-38-30,10-38-30.8,0,11.794,3.023,0.027,0.103,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,-0.123,0.127,-0.082,0,0,0,2,1,123.421,-334.596,109.517,0,0,13655,5,131.422,1,({h,
2014-Jun-28_10-38-30,10-38-30.9,0,11.863,3.023,0.019,0.094,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-0.219,0.013,-0.178,0,0,0,2,1,136.011,-334.714,109.631,0,0,13660,5,131.522,1,u???,
2014-Jun-28_10-38-31,10-38-31.0,0,11.924,2.656,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,155.945,-334.94,109.746,0,0,13670,5,131.722,1,!.i,
2014-Jun-28_10-38-31,10-38-31.1,0,11.898,3.023,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-0.096,-0.096,-0.096,0,0,0,2,1,167.486,-335.058,109.403,0,0,13675,5,131.822,1,?\??,
2014-Jun-28_10-38-31,10-38-31.2,0,11.898,3.023,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-0.096,-0.096,-0.096,0,0,0,2,1,167.486,-335.058,109.403,0,0,13675,5,131.822,1,???,
2014-Jun-28_10-38-31,10-38-31.3,0,11.958,1.554,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,183.224,-335.294,109.517,0,0,13685,5,132.022,1,?zz?,
2014-Jun-28_10-38-31,10-38-31.5,0,10.473,43.042,-0.001,0,0.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.671,-0.671,-0.671,-0.671,0,0,0,2,1,190.568,-335.412,109.517,0,0,13690,5,132.122,1,Y?Av,
2014-Jun-28_10-38-31,10-38-31.6,0,9.272,144.375,-0.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.795,-0.795,-0.795,-0.795,0,0,0,2,1,194.765,-335.539,109.517,0,0,13695,5,132.221,1,???,
